Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,CurrentImage,DemoImage,CurrentX,CurrentY,DemoX,DemoY,InPractice,DemoText,Jitter,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,comprehension_questions_3.thisRepN,comprehension_questions_3.thisTrialN,comprehension_questions_3.thisN,comprehension_questions_3.thisIndex,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,inter_task_break_continue.started,inter_task_break_continue.stopped,inter_task_break_text.started,inter_task_break_text.stopped,inter_task_break_key.keys,inter_task_break_key.rt,inter_task_break_key.started,inter_task_break_key.stopped,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.rt,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions_1_continue.started,rec_instructions_1_continue.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instructions_2_continue.started,rec_instructions_2_continue.stopped,rec_instruction_2_title.started,rec_instruction_2_title.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_3_continue.started,rec_instructions_3_continue.stopped,rec_instruction_3_title.started,rec_instruction_3_title.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,rec_instructions_4_continue.started,rec_instructions_4_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,demo_start_text.started,demo_start_text.stopped,demo_interior.started,demo_interior.stopped,demo_main_image.started,demo_main_image.stopped,demo_image.started,demo_image.stopped,demo_text.started,demo_text.stopped,demo_key.keys,demo_key.rt,demo_key.started,demo_key.stopped,demo_continue.started,demo_continue.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.38144690007903,None,62.3980003001634,None,67.48148630000651,None,right,1.085814799880609,68.46479790005833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
Hány másodperce lesz a döntésre egy-egy képről?,D: 2mp    F: 3mp    J: 4mp   K: 5mp,j,A helyes válasz 4 mp. ,A helyes válasz 4 mp. ,"A döntésre 4 másodperce lesz.
Minden képet nézzen meg figyelmesen, és minden képre adjon választ, akkor is, ha a döntés nehéz.

A döntését így jelölje:
Régi - F
Új – K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.46479790005833,None,69.61483189999126,None,69.61483189999126,None,j,1,0.8883943997789174,70.59817150002345,None,71.53155030007474,None,None,74.5315958100371,None,74.5315958100371,None,73.54827380017377,73.54827380017377,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
"Mely billenytűvel jelzi azokat a képeket, amely ugyanolyan, mint egy első feladatban látott kép? ",D billentyű    F billentyű   J billentyű    K billentyű,f,A helyes válasz: F billentyű.,A helyes válasz: F billentyű.,"A döntésre 4 másodperce lesz.
Minden képet nézzen meg figyelmesen, és minden képre adjon választ, akkor is, ha a döntés nehéz.

A döntését így jelölje:
Régi - F
Új – K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54827200016007,None,74.54827200016007,None,f,1,0.22692769998684525,75.53161579999141,None,75.7816151001025,None,None,78.76503170998767,None,78.76503170998767,None,77.78167950012721,77.78167950012721,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,OBJ,LURE,stimuli/fractals/149a.jpg,stimuli/fractals/149b.jpg,175,325,925,325,-,Új Képek,1000,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.76502100005746,None,80.36503170011565,None,80.36503170011565,None,80.36503170011565,None,80.36503170011565,None,right,3.289951399900019,82.34841630002484,None,82.34841630002484,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,OBJ,LURE,stimuli/fractals/181b.jpg,stimuli/fractals/181c.jpg,175,325,925,325,-,Új Képek,2300,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71517820004374,None,85.71517820004374,None,85.71517820004374,None,85.71517820004374,None,right,0.4756928998976946,87.69857680005953,None,87.69857680005953,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,OBJ,LURE,stimuli/fractals/177b.jpg,stimuli/fractals/177c.jpg,175,325,925,325,-,Új Képek,800,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.24854970001616,None,88.24854970001616,None,88.24854970001616,None,88.24854970001616,None,right,0.36715030018240213,90.21526940003969,None,90.21526940003969,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,OBJ,LURE,stimuli/fractals/167a.jpg,stimuli/fractals/167b.jpg,175,325,925,325,OBJ-TARGET,Új Képek,1500,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.63189990003593,None,90.63189990003593,None,90.63189990003593,None,90.63189990003593,None,right,0.35134659986943007,92.61530290008523,None,92.61530290008523,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,OBJ,FOIL,stimuli/fractals/163a.jpg,stimuli/fractals/173c.jpg,175,325,925,325,-,Új Képek,600,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0320203001611,None,93.0320203001611,None,93.0320203001611,None,93.0320203001611,None,right,0.055634899996221066,94.99871600000188,None,94.99871600000188,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,LOC,LURE,stimuli/fractals/166a.jpg,stimuli/fractals/166a.jpg,325,325,325,175,"LOC-TARGET, OBJ-LURE",Új Helyek,800,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.11537060001865,None,95.11537060001865,None,95.11537060001865,None,95.11537060001865,None,right,0.410977799911052,97.11538670002483,None,97.11538670002483,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,LOC,LURE,stimuli/fractals/159a.jpg,stimuli/fractals/159a.jpg,175,325,325,325,LOC-LURE,Új Helyek,1500,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.59875000012107,None,97.59875000012107,None,97.59875000012107,None,97.59875000012107,None,right,0.4162506000138819,99.58215460018255,None,99.58215460018255,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,LOC,LURE,stimuli/fractals/148b.jpg,stimuli/fractals/148b.jpg,325,475,325,625,LOC-FOIL,Új Helyek,800,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0487860001158,None,100.0487860001158,None,100.0487860001158,None,100.0487860001158,None,right,0.5581515000667423,102.03222530009225,None,102.03222530009225,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,LOC,FOIL,stimuli/fractals/177b.jpg,stimuli/fractals/177b.jpg,325,475,775,175,OBJ-LURE,Új Helyek,800,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.66553040011786,None,102.66553040011786,None,102.66553040011786,None,102.66553040011786,None,right,0.40557090006768703,104.6489175001625,None,104.6489175001625,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
,,,,,,Demo,LOC,FOIL,stimuli/fractals/177b.jpg,stimuli/fractals/177b.jpg,175,325,925,325,OBJ-LURE,Új Helyek,1200,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1322379000485,None,105.1322379000485,None,105.1322379000485,None,105.1322379000485,None,right,0.5547525000292808,107.11562689999118,None,107.11562689999118,None,i,i,1,1,1,2020_Jun_04_1553,TRK-online,2020.1.3,60.02008277479459,
