Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,comprehension_key.started,comprehension_key.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,comprehension_continue_key.keys,comprehension_continue_key.started,comprehension_continue_key.stopped,comprehension_continue_text.started,comprehension_continue_text.stopped,comprehension_repeat_text.started,comprehension_repeat_text.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,comprehension_continue_key.rt,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.99662680001347,None,83.99662680001347,None,None,83.99662680001347,None,84.51330140000209,None,84.51330140000209,None,j,0.728585299977567,84.51330140000209,None,87.53006440002355,None,87.53006440002355,None,87.53006440002355,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.51334890001453,None,88.51334890001453,None,None,88.51334890001453,None,89.53010210001958,None,89.53010210001958,None,j,0.7598469999793451,89.53010210001958,None,92.54679540000507,None,92.54679540000507,None,92.54679540000507,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.53014950000215,None,93.53014950000215,None,None,93.53014950000215,None,94.54683259999729,None,94.54683259999729,None,f,0.3428159000177402,94.54683259999729,None,97.56358310001087,None,97.56358310001087,None,97.56358310001087,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.54695720001473,None,98.54695720001473,None,None,98.54695720001473,None,103.56371170000057,None,103.56371170000057,None,j,0.7666744999878574,103.56371170000057,None,106.58046270001796,None,106.58046270001796,None,106.58046270001796,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.56384300001082,None,107.56384300001082,None,None,107.56384300001082,None,108.38049440001487,None,108.38049440001487,None,f,0.7812302999955136,108.38049440001487,None,111.39722210000036,None,111.39722210000036,None,111.39722210000036,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3805476000125,None,112.3805476000125,None,None,112.3805476000125,None,115.39736920001451,None,115.39736920001451,None,j,0.604644000006374,115.39736920001451,None,118.41406000001007,None,118.41406000001007,None,118.41406000001007,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-0.2344,-0.4167,800,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.39743559999624,None,119.39743559999624,None,None,119.39743559999624,None,120.21409920000588,None,120.21409920000588,None,f,0.46779230001266114,120.21409920000588,None,123.23086040001363,None,123.23086040001363,None,123.23086040001363,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.21421390000614,None,124.21421390000614,None,None,124.21421390000614,None,125.73084800000652,None,125.73084800000652,None,f,1.7909549000032712,125.73084800000652,None,128.7476200000092,None,128.7476200000092,None,128.7476200000092,None,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.7309355000034,None,right,25.98328880002373,130.71435910000582,None,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,,,OLP,1.0,stimuli/fractals/42c.jpg,-0.234375,0.1388888888888889,2000.0,,1.0,1.0,3.0,stimuli/fractals/42c.jpg,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.7482955000014,None,158.7482955000014,None,None,158.7482955000014,None,160.76495640000212,None,160.76495640000212,None,f,1.0687619999807794,160.76495640000212,None,,,,,,,,,,,,,130.71435910000582,None,156.71491820001393,None,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,,,OLP,1.0,stimuli/fractals/64a.jpg,-0.078125,0.4166666666666667,6000.0,,2.0,1.0,3.0,stimuli/fractals/64a.jpg,stimuli/fractals/64c.jpg,stimuli/fractals/64b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.7650548000238,None,163.7650548000238,None,None,163.7650548000238,None,169.78186460002325,None,169.78186460002325,None,j,0.6437019000004511,169.78186460002325,None,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,,,LLP,1.0,stimuli/fractals/25c.jpg,0.390625,0.4166666666666667,2000.0,,3.0,1.0,5.0,stimuli/fractals/25c.jpg,stimuli/fractals/25b.jpg,stimuli/fractals/25a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.78191550000338,None,172.78191550000338,None,None,172.78191550000338,None,174.7986196000129,None,174.7986196000129,None,j,0.8110684000130277,174.7986196000129,None,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
,,,,,,,,ERP,1.0,stimuli/fractals/4a.jpg,0.078125,0.4166666666666667,1000.0,,4.0,1.0,2.0,stimuli/fractals/4a.jpg,stimuli/fractals/4b.jpg,stimuli/fractals/4c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.79869580001105,None,177.79869580001105,None,None,177.79869580001105,None,178.81536450001295,None,178.81536450001295,None,f,0.6101984000124503,178.81536450001295,None,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jul_21_1425,TRK-online,2020.1.3,60.008557219052136,
